key,th,en,cn,jp
nav.home,หน้าแรก,Home,首页,ホーム
nav.profile,โปรไฟล์,Profile,个人资料,プロフィール
nav.friends,เพื่อน,Friends,好友,友達
nav.messages,ข้อความ,Messages,消息,メッセージ
nav.notifications,การแจ้งเตือน,Notifications,通知,通知
nav.settings,ตั้งค่า,Settings,设置,設定
nav.logout,ออกจากระบบ,Logout,退出登录,ログアウト
nav.bookmarks,โพสต์ที่บันทึก,Saved Posts,收藏帖子,保存した投稿
auth.login,เข้าสู่ระบบ,Login,登录,ログイン
auth.register,สมัครสมาชิก,Register,注册,登録
auth.logout,ออกจากระบบ,Logout,退出登录,ログアウト
auth.email,อีเมล,Email,邮箱,メール
auth.password,รหัสผ่าน,Password,密码,パスワード
auth.confirmPassword,ยืนยันรหัสผ่าน,Confirm Password,确认密码,パスワード確認
auth.username,ชื่อผู้ใช้,Username,用户名,ユーザー名
auth.forgotPassword,ลืมรหัสผ่าน?,Forgot password?,忘记密码？,パスワードを忘れた？
auth.loginWithGoogle,เข้าสู่ระบบด้วย Google,Login with Google,使用 Google 登录,Googleでログイン
auth.loginWithLine,เข้าสู่ระบบด้วย LINE,Login with LINE,使用 LINE 登录,LINEでログイン
auth.noAccount,ยังไม่มีบัญชีผู้ใช้?,Don't have an account?,还没有账号？,アカウントをお持ちでない方？
auth.hasAccount,มีบัญชีอยู่แล้ว?,Already have an account?,已有账号？,すでにアカウントをお持ちの方？
auth.createAccount,สร้างบัญชีใหม่,Create Account,创建账号,アカウント作成
auth.welcome,ยินดีต้อนรับกลับเข้าสู่ KN Book,Welcome back to KN Book,欢迎回到 KN Book,KN Bookへようこそ
auth.startJourney,เริ่มต้นการเดินทางใน KN Book ของคุณ,Start your journey on KN Book,开始您在 KN Book 的旅程,KN Bookの旅を始めよう
auth.orLoginWith,หรือเข้าสู่ระบบด้วย,Or login with,或使用以下方式登录,またはログイン
auth.tokenInvalid,Token ไม่ถูกต้อง,Invalid token,Token 无效,Tokenが無効です
auth.loginManage,เข้าสู่ระบบจัดการ,Admin Login,管理员登录,管理者ログイン
post.create,สร้างโพสต์,Create Post,创建帖子,投稿を作成
post.edit,แก้ไขโพสต์,Edit Post,编辑帖子,投稿を編集
post.delete,ลบโพสต์,Delete Post,删除帖子,投稿を削除
post.like,ถูกใจ,Like,点赞,いいね
post.comment,ความคิดเห็น,Comment,评论,コメント
post.share,แชร์,Share,分享,シェア
post.save,บันทึก,Save,收藏,保存
post.report,รายงาน,Report,举报,報告
post.placeholder,คิดอะไรอยู่...,What's on your mind...,你在想什么...,今何を考えていますか...
post.posting,กำลังโพสต์...,Posting...,发布中...,投稿中...
post.deleteConfirm,ต้องการลบโพสต์นี้ใช่หรือไม่?,Delete this post?,确认删除此帖子？,この投稿を削除しますか？
post.noPost,ยังไม่มีโพสต์,No posts yet,暂无帖子,投稿がありません
post.originalPost,โพสต์ต้นฉบับ,Original Post,原帖,元の投稿
post.feeling,กำลังรู้สึก,Feeling,感觉,気分
post.howFeeling,คุณกำลังรู้สึกอย่างไร?,How are you feeling?,你现在感觉怎么样？,今どんな気分ですか？
post.otherFeeling,ความรู้สึกอื่นๆ...,Other feelings...,其他感受...,その他の気分...
post.chooseSticker,เลือกสติกเกอร์,Choose Sticker,选择贴纸,スタンプを選ぶ
